Gene	Gene synonym	Ensembl	Gene description	Chromosome	Position	Protein class	Evidence	Antibody	Reliability (IH)	Reliability (Mouse Brain)	Reliability (IF)	Subcellular location	Prognostic p-value	RNA cancer category	RNA tissue category	RNA TS	RNA TS TPM	TPM max in non-specific	RNA cell line category	RNA CS	RNA CS TPM
NEK9	DKFZp434D0935, MGC16714, Nek8, NERCC	ENSG00000119638	NIMA related kinase 9	14	75079353-75127344	Disease related genes, Enzymes, Plasma proteins, Potential drug targets, Predicted intracellular proteins, Transporters	Evidence at protein level	HPA001405	Approved		Approved	Mitochondria	Pancreatic cancer:5.63e-4 (favourable)	Expressed in all	Expressed in all			parathyroid gland: 29.9	Mixed		
NEU1	NEU	ENSG00000204386	Neuraminidase 1	6	31857659-31862906	Disease related genes, Enzymes, Potential drug targets, Predicted intracellular proteins	Evidence at protein level	HPA015634, HPA021506	Approved		Supported	Vesicles<br>Cell Junctions		Expressed in all	Mixed			thyroid gland: 14.3	Expressed in all		
NGLY1	FLJ11005, PNG1	ENSG00000151092	N-glycanase 1	3	25718944-25790039	Disease related genes, Enzymes, Potential drug targets, Predicted intracellular proteins, Predicted membrane proteins, Predicted secreted proteins	Evidence at protein level	HPA036825	Approved				Liver cancer:1.96e-6 (unfavourable), Colorectal cancer:1.17e-5 (favourable)	Expressed in all	Expressed in all			testis: 116.0	Expressed in all		
NHLRC1	bA204B7.2, EPM2B, malin	ENSG00000187566	NHL repeat containing E3 ubiquitin protein ligase 1	6	18120440-18122687	Disease related genes, Enzymes, Potential drug targets, Predicted intracellular proteins	Evidence at protein level	HPA066030			Uncertain	Vesicles	Urothelial cancer:5.30e-4 (favourable), Endometrial cancer:9.01e-4 (unfavourable)	Expressed in all	Mixed			skin: 4.5	Cell line enhanced		EFO-21: 6.4;SCLC-21H: 7.2
NIPA1	MGC35570, SPG6	ENSG00000170113	Non imprinted in Prader-Willi/Angelman syndrome 1	15	22773063-22829791	Disease related genes, Potential drug targets, Predicted membrane proteins, Transporters	Evidence at protein level	HPA023269	Uncertain					Expressed in all	Tissue enhanced		cerebral cortex: 38.2	parathyroid gland: 16.8	Mixed		
NIPAL4	ICHYN	ENSG00000172548	NIPA like domain containing 4	5	157460019-157474717	Disease related genes, Potential drug targets, Predicted membrane proteins, Transporters	Evidence at protein level	HPA038259	Approved				Urothelial cancer:6.82e-4 (favourable)	Tissue enhanced	Tissue enhanced		skin: 41.9	esophagus: 10.2	Group enriched	10	hTCEpi: 21.3;RT4: 80.1
NKAIN2	FAM77B, TCBA1	ENSG00000188580	Sodium/potassium transporting ATPase interacting 2	6	123804141-124825657	Disease related genes, Potential drug targets, Predicted membrane proteins, Transporters	Evidence at transcript level	HPA045860			Approved	Cytosol		Mixed	Tissue enriched	44	cerebral cortex: 46.1	adipose tissue,skeletal muscle: 1.0	Cell line enhanced		HEK93: 4.5;HEL: 5.8;Karpas-707: 7.5
NMNAT1	LCA9, NMNAT, PNAT1	ENSG00000173614	Nicotinamide nucleotide adenylyltransferase 1	1	9943428-9985501	Disease related genes, Enzymes, Potential drug targets, Predicted intracellular proteins	Evidence at protein level	HPA059447	Approved		Supported	Nucleoplasm<br>Nuclear bodies	Renal cancer:3.85e-14 (favourable)	Expressed in all	Mixed			thyroid gland: 12.5	Mixed		
NNT		ENSG00000112992	Nicotinamide nucleotide transhydrogenase	5	43602692-43707405	Disease related genes, Enzymes, Plasma proteins, Potential drug targets, Predicted intracellular proteins, Predicted membrane proteins	Evidence at protein level	HPA004829, CAB004975	Enhanced		Enhanced	Mitochondria	Renal cancer:1.22e-15 (favourable)	Expressed in all	Expressed in all			heart muscle: 130.6	Expressed in all		
NOX1	GP91-2, MOX1, NOH-1, NOH1	ENSG00000007952	NADPH oxidase 1	X	100843324-100874345	Disease related genes, Plasma proteins, Potential drug targets, Predicted intracellular proteins, Predicted membrane proteins, Transporters	Evidence at protein level						Colorectal cancer:9.71e-4 (favourable)	Tissue enriched	Group enriched	17	colon: 58.7;rectum: 79.9	appendix: 3.9	Cell line enriched	19	CACO-2: 25.5
NPC1		ENSG00000141458	NPC intracellular cholesterol transporter 1	18	23506184-23586898	Disease related genes, Potential drug targets, Predicted membrane proteins, Transporters	Evidence at protein level	HPA026618, CAB070132, HPA077445	Approved		Supported	Nucleus<br>Vesicles	Liver cancer:2.26e-6 (unfavourable)	Expressed in all	Expressed in all			parathyroid gland: 110.1	Expressed in all		
NPC2	EDDM1, HE1, NP-C2	ENSG00000119655	NPC intracellular cholesterol transporter 2	14	74476192-74494177	Disease related genes, Plasma proteins, Potential drug targets, Predicted intracellular proteins, Predicted secreted proteins, Transporters	Evidence at protein level	HPA000835	Enhanced				Colorectal cancer:4.83e-5 (unfavourable), Stomach cancer:2.66e-4 (unfavourable), Liver cancer:3.13e-4 (unfavourable), Thyroid cancer:6.55e-4 (favourable)	Expressed in all	Tissue enriched	19	epididymis: 16336.0	lung: 849.0	Expressed in all		
NPHS2	PDCN, SRN1	ENSG00000116218	NPHS2, podocin	1	179550539-179575952	Disease related genes, Potential drug targets, Predicted membrane proteins, Transporters	Evidence at protein level	CAB037267, HPA049486	Enhanced					Not detected	Tissue enriched	87	kidney: 93.6	testis: 1.0	Cell line enriched	12	NTERA-2: 1.1
NPSR1	GPR154, GPRA, PGR14	ENSG00000187258	Neuropeptide S receptor 1	7	34658239-34878332	Disease related genes, G-protein coupled receptors, Potential drug targets, Predicted membrane proteins	Evidence at protein level	HPA007489	Supported					Tissue enhanced	Not detected			stomach: 0.5	Cell line enhanced		HAP1: 1.1
NSD1	ARA267, FLJ22263, KMT3B, STO	ENSG00000165671	Nuclear receptor binding SET domain protein 1	5	177133025-177300215	Cancer-related genes, Disease related genes, Enzymes, Plasma proteins, Potential drug targets, Predicted intracellular proteins	Evidence at protein level	HPA048431, HPA070333, HPA073705	Supported		Supported	Nucleus<br>Plasma membrane		Expressed in all	Expressed in all			testis: 43.2	Mixed		
NSD2	KMT3G, MMSET, WHSC1	ENSG00000109685	Nuclear receptor binding SET domain protein 2	4	1871424-1982207	Cancer-related genes, Disease related genes, Enzymes, Potential drug targets, Predicted intracellular proteins, Transcription factors	Evidence at protein level	HPA015801, CAB068246, CAB068247	Enhanced		Supported	Nucleus	Liver cancer:2.61e-4 (unfavourable), Renal cancer:7.19e-4 (unfavourable)	Expressed in all	Expressed in all			testis: 66.6	Expressed in all		
NSD3	FLJ20353, KMT3F, WHISTLE, WHSC1L1	ENSG00000147548	Nuclear receptor binding SET domain protein 3	8	38269697-38382272	Cancer-related genes, Disease related genes, Enzymes, Potential drug targets, Predicted intracellular proteins	Evidence at protein level	HPA005659, CAB013721, HPA018893	Uncertain		Approved	Nucleoplasm<br>Mitochondria	Pancreatic cancer:7.48e-4 (unfavourable)	Expressed in all	Expressed in all			placenta: 47.8	Expressed in all		
NSDHL	H105e3, SDR31E1, XAP104	ENSG00000147383	NAD(P) dependent steroid dehydrogenase-like	X	152830967-152869729	Disease related genes, Enzymes, Potential drug targets, Predicted intracellular proteins, Predicted membrane proteins	Evidence at protein level	HPA000248, HPA000571	Enhanced		Enhanced	Endoplasmic reticulum<br>Lipid droplets	Renal cancer:6.09e-5 (favourable), Liver cancer:5.04e-4 (unfavourable), Cervical cancer:5.65e-4 (favourable)	Expressed in all	Expressed in all			epididymis: 54.1	Expressed in all		
NSUN2	FLJ20303, Misu, MRT5, TRM4	ENSG00000037474	NOP2/Sun RNA methyltransferase family member 2	5	6599239-6633291	Disease related genes, Enzymes, Potential drug targets, Predicted intracellular proteins	Evidence at protein level	HPA037896	Enhanced		Supported	Nucleus	Renal cancer:5.69e-5 (unfavourable)	Expressed in all	Expressed in all			breast: 44.2	Expressed in all		
NT5C2	cN-II, GMP, NT5B, PNT5, SPG65	ENSG00000076685	5'-nucleotidase, cytosolic II	10	103088017-103193306	Cancer-related genes, Disease related genes, Enzymes, Plasma proteins, Potential drug targets, Predicted intracellular proteins	Evidence at protein level	HPA003751	Approved					Expressed in all	Expressed in all			thyroid gland: 119.6	Expressed in all		
NT5C3A	cN-III, hUMP1, NT5C3, p36, P5'N-1, PN-I, POMP, PSN1, UMPH, UMPH1	ENSG00000122643	5'-nucleotidase, cytosolic IIIA	7	33014114-33062797	Disease related genes, Enzymes, Plasma proteins, Potential drug targets, Predicted intracellular proteins, Predicted secreted proteins	Evidence at protein level	HPA010630, HPA029058	Uncertain				Renal cancer:1.70e-4 (unfavourable), Liver cancer:2.42e-4 (unfavourable)	Expressed in all	Expressed in all			rectum: 46.5	Expressed in all		
NT5E	CALJA, CD73, eN, eNT, NT5	ENSG00000135318	5'-nucleotidase ecto	6	85449584-85495791	CD markers, Disease related genes, Enzymes, Potential drug targets, Predicted intracellular proteins, Predicted membrane proteins, Predicted secreted proteins	Evidence at protein level	HPA017357	Approved		Supported	Nucleoplasm<br>Plasma membrane<br>Cytosol	Pancreatic cancer:1.32e-5 (unfavourable), Stomach cancer:1.02e-4 (unfavourable), Lung cancer:6.66e-4 (unfavourable)	Expressed in all	Tissue enhanced		cervix, uterine: 172.7	smooth muscle: 106.3	Cell line enhanced		LHCN-M2: 772.3;U-87 MG: 800.0
NTHL1	NTH1, OCTS3	ENSG00000065057	Nth like DNA glycosylase 1	16	2039815-2047866	Cancer-related genes, Disease related genes, Enzymes, Potential drug targets, Predicted intracellular proteins	Evidence at protein level	CAB025152	Supported					Expressed in all	Expressed in all			fallopian tube: 21.3	Expressed in all		
NTRK2	TRKB	ENSG00000148053	Neurotrophic receptor tyrosine kinase 2	9	84668551-85027070	Cancer-related genes, Disease related genes, Enzymes, Plasma proteins, Potential drug targets, Predicted membrane proteins	Evidence at protein level	HPA007637, CAB010346	Enhanced		Approved	Cytosol		Group enriched	Tissue enhanced		cerebral cortex: 439.6;thyroid gland: 215.7	breast: 82.1	Group enriched	5	AF22: 9.4;HaCaT: 3.1;RPTEC TERT1: 8.1;SH-SY5Y: 12.9;WM-115: 2.8
NTRK3	TRKC	ENSG00000140538	Neurotrophic receptor tyrosine kinase 3	15	87859751-88256768	Cancer-related genes, Disease related genes, Enzymes, Plasma proteins, Potential drug targets, Predicted intracellular proteins, Predicted membrane proteins	Evidence at protein level	CAB009233, HPA027484, HPA048065	Enhanced		Supported	Nuclear membrane<br>Nucleoli		Tissue enhanced	Tissue enhanced		cerebral cortex: 39.6	testis: 15.2	Cell line enriched	8	U-138 MG: 99.2
NUP107	NUP84	ENSG00000111581	Nucleoporin 107	12	68686734-68745809	Disease related genes, Potential drug targets, Predicted intracellular proteins, Predicted membrane proteins, Transporters	Evidence at protein level	HPA031679			Uncertain	Nucleoplasm<br>Nuclear membrane<br>Centrosome	Liver cancer:3.12e-9 (unfavourable), Renal cancer:1.28e-6 (unfavourable)	Expressed in all	Expressed in all			testis: 38.1	Expressed in all		
NUP155	KIAA0791, N155	ENSG00000113569	Nucleoporin 155	5	37288137-37371181	Disease related genes, Plasma proteins, Potential drug targets, Predicted intracellular proteins, Predicted secreted proteins, Transporters	Evidence at protein level	HPA037775	Enhanced		Enhanced	Nuclear membrane	Liver cancer:1.35e-6 (unfavourable)	Expressed in all	Tissue enriched	9	testis: 126.8	parathyroid gland: 14.4	Expressed in all		
NUP188	KIAA0169	ENSG00000095319	Nucleoporin 188	9	128947699-129007096	Disease related genes, Potential drug targets, Predicted membrane proteins, Transporters	Evidence at protein level	HPA061750, HPA063942	Approved		Supported	Nucleus	Endometrial cancer:5.20e-5 (favourable)	Expressed in all	Expressed in all			testis: 104.6	Expressed in all		
NUP205	C7orf14, KIAA0225	ENSG00000155561	Nucleoporin 205	7	135557919-135648757	Disease related genes, Plasma proteins, Potential drug targets, Predicted intracellular proteins, Predicted membrane proteins, Transporters	Evidence at protein level						Liver cancer:1.90e-7 (unfavourable)	Expressed in all	Expressed in all			parathyroid gland: 30.3	Expressed in all		
NUP214	CAIN, CAN, D9S46E, N214	ENSG00000126883	Nucleoporin 214	9	131125561-131234670	Cancer-related genes, Disease related genes, Plasma proteins, Potential drug targets, Predicted intracellular proteins, Predicted secreted proteins, Transporters	Evidence at protein level	HPA048789			Supported	Nucleus<br>Vesicles<br>Focal adhesion sites	Renal cancer:2.39e-5 (favourable)	Expressed in all	Expressed in all			testis: 123.0	Expressed in all		
NUP62	DKFZp547L134, FLJ20822, FLJ43869, IBSN, MGC841, p62, SNDI	ENSG00000213024	Nucleoporin 62	19	49906825-49929763	Disease related genes, Potential drug targets, Predicted intracellular proteins, Transporters	Evidence at protein level	HPA005435, CAB020724	Enhanced		Supported	Nucleus<br>Nuclear membrane	Renal cancer:5.71e-12 (unfavourable), Liver cancer:2.50e-7 (unfavourable)	Expressed in all	Expressed in all			testis: 76.9	Expressed in all		
NUP93	KIAA0095	ENSG00000102900	Nucleoporin 93	16	56730105-56850286	Cancer-related genes, Disease related genes, Plasma proteins, Potential drug targets, Predicted intracellular proteins, Predicted membrane proteins, Transporters	Evidence at protein level	HPA017937	Uncertain				Liver cancer:1.72e-6 (unfavourable)	Expressed in all	Expressed in all			testis: 74.6	Expressed in all		
NUS1	C6orf68, MGC7199, NgBR, TANGO14	ENSG00000153989	NUS1 dehydrodolichyl diphosphate synthase subunit	6	117675502-117710640	Disease related genes, Enzymes, Potential drug targets, Predicted membrane proteins	Evidence at protein level	HPA027504	Supported		Approved	Vesicles<br>Plasma membrane	Cervical cancer:6.99e-4 (unfavourable)	Expressed in all	Expressed in all			cervix, uterine: 92.2	Expressed in all		
OAT	HOGA	ENSG00000065154	Ornithine aminotransferase	10	124397303-124418976	Disease related genes, Enzymes, Potential drug targets, Predicted intracellular proteins	Evidence at protein level	CAB033576, HPA040098, HPA064742	Enhanced		Supported	Nucleoplasm<br>Mitochondria		Expressed in all	Expressed in all			small intestine: 859.8	Mixed		
OBSCN	ARHGEF30, KIAA1556, KIAA1639, UNC89	ENSG00000154358	Obscurin, cytoskeletal calmodulin and titin-interacting RhoGEF	1	228208130-228378874	Disease related genes, Enzymes, Plasma proteins, Potential drug targets, Predicted intracellular proteins	Evidence at protein level	HPA021186	Enhanced		Approved	Plasma membrane<br>Cytosol	Endometrial cancer:1.64e-4 (unfavourable)	Mixed	Tissue enriched	7	skeletal muscle: 301.1	heart muscle: 45.7	Mixed		
OCA2	BEY, BEY1, BEY2, D15S12, EYCL, EYCL2, EYCL3, P	ENSG00000104044	OCA2 melanosomal transmembrane protein	15	27754875-28099358	Disease related genes, Potential drug targets, Predicted membrane proteins, Transporters	Evidence at protein level							Tissue enriched	Tissue enhanced		skin: 7.4;thyroid gland: 5.8	testis: 2.5	Group enriched	6	SH-SY5Y: 6.3;SK-MEL-30: 18.3
OCLN	PPP1R115	ENSG00000197822	Occludin	5	69492292-69558104	Disease related genes, Potential drug targets, Predicted membrane proteins, Predicted secreted proteins, Transporters	Evidence at protein level	HPA005933, CAB013075, CAB068212, CAB068213, CAB068214	Enhanced		Supported	Plasma membrane<br>Cell Junctions	Renal cancer:6.59e-11 (favourable)	Mixed	Tissue enhanced		thyroid gland: 78.7	lung: 39.8	Cell line enhanced		CAPAN-2: 60.2;HaCaT: 48.8
OCRL	OCRL1	ENSG00000122126	OCRL, inositol polyphosphate-5-phosphatase	X	129539849-129592561	Disease related genes, Enzymes, Potential drug targets, Predicted intracellular proteins	Evidence at protein level	HPA012495	Approved		Approved	Microtubules<br>Cytosol	Breast cancer:2.93e-5 (unfavourable)	Expressed in all	Expressed in all			parathyroid gland: 65.3	Mixed		
OGG1	HMMH, HOGG1, MUTM, OGH1	ENSG00000114026	8-oxoguanine DNA glycosylase	3	9749944-9788219	Cancer-related genes, Disease related genes, Enzymes, Plasma proteins, Potential drug targets, Predicted intracellular proteins, Predicted secreted proteins	Evidence at protein level	HPA027514, CAB047301	Approved		Enhanced	Nucleoplasm	Liver cancer:5.77e-5 (unfavourable), Renal cancer:2.65e-4 (favourable)	Expressed in all	Expressed in all			lymph node: 30.5	Expressed in all		
OGT	FLJ23071, HRNT1, MGC22921, O-GLCNAC	ENSG00000147162	O-linked N-acetylglucosamine (GlcNAc) transferase	X	71533083-71575897	Disease related genes, Enzymes, Potential drug targets, Predicted intracellular proteins	Evidence at protein level	HPA030751, HPA030752, HPA030753, HPA030754, CAB034099	Approved		Supported	Nucleoplasm<br>Plasma membrane	Urothelial cancer:6.85e-7 (favourable), Renal cancer:2.36e-6 (unfavourable), Head and neck cancer:1.97e-4 (favourable), Endometrial cancer:8.33e-4 (unfavourable)	Expressed in all	Expressed in all			spleen: 83.2	Expressed in all		
OPA1	FLJ12460, KIAA0567, MGM1, NPG, NTG	ENSG00000198836	OPA1, mitochondrial dynamin like GTPase	3	193593144-193697823	Disease related genes, Enzymes, Plasma proteins, Potential drug targets, Predicted intracellular proteins, Transporters	Evidence at protein level	HPA036926, HPA036927	Enhanced		Supported	Nucleoplasm<br>Mitochondria	Pancreatic cancer:8.44e-5 (unfavourable), Renal cancer:1.84e-4 (favourable), Endometrial cancer:8.61e-4 (unfavourable)	Expressed in all	Expressed in all			cerebral cortex: 56.2	Expressed in all		
OPLAH	5-Opase, OPLA	ENSG00000178814	5-oxoprolinase (ATP-hydrolysing)	8	144051266-144063965	Disease related genes, Enzymes, Potential drug targets, Predicted intracellular proteins	Evidence at protein level	HPA026562, HPA028260, HPA052429	Uncertain		Approved	Nucleoli fibrillar center	Renal cancer:1.53e-6 (favourable)	Expressed in all	Tissue enhanced		testis: 58.2	duodenum: 13.8	Cell line enhanced		AN3-CA: 31.2;BEWO: 20.2;PC-3: 24.2
